"","r","var","r","var"
"79",0.749329021848011,"harvardox_cortical_7.X.harvardox_subcortical_13",0.754402607605169,"harvardox_subcortical_19.X.harvardox_subcortical_9"
"80",0.749329021848011,"harvardox_subcortical_13.X.harvardox_cortical_7",0.754402607605169,"harvardox_subcortical_9.X.harvardox_subcortical_19"
"81",0.748477877948621,"harvardox_cortical_39.X.right_ffa_sphere_6mm_mni2mm",0.754345768960123,"harvardox_cortical_23.X.harvardox_cortical_39"
"82",0.748477877948621,"right_ffa_sphere_6mm_mni2mm.X.harvardox_cortical_39",0.754345768960123,"harvardox_cortical_39.X.harvardox_cortical_23"
"83",0.74642601941742,"left_ffa_sphere_6mm_mni2mm.X.harvardox_cortical_39",0.752381802692477,"harvardox_cortical_23.X.harvardox_subcortical_13"
"84",0.74642601941742,"harvardox_cortical_39.X.left_ffa_sphere_6mm_mni2mm",0.752381802692477,"harvardox_subcortical_13.X.harvardox_cortical_23"
"85",0.745856501716291,"harvardox_subcortical_16.X.harvardox_subcortical_5",0.750716687519551,"harvardox_subcortical_1.X.harvardox_subcortical_13"
"86",0.745856501716291,"harvardox_subcortical_5.X.harvardox_subcortical_16",0.750716687519551,"harvardox_subcortical_13.X.harvardox_subcortical_1"
"87",0.74490970389652,"harvardox_cortical_23.X.harvardox_subcortical_13",0.748541797131714,"vmpfc_trimmed_prob.5_mni2mm.X.harvardox_cortical_27"
"88",0.74490970389652,"harvardox_subcortical_13.X.harvardox_cortical_23",0.748541797131714,"harvardox_cortical_27.X.vmpfc_trimmed_prob.5_mni2mm"
"89",0.739864263805339,"harvardox_cortical_42.X.harvardox_cortical_43",0.74685752871744,"harvardox_cortical_2.X.harvardox_cortical_42"
"90",0.739864263805339,"harvardox_cortical_43.X.harvardox_cortical_42",0.74685752871744,"harvardox_cortical_42.X.harvardox_cortical_2"
"91",0.739298328804233,"harvardox_cortical_2.X.harvardox_cortical_41",0.746343607882329,"left_ffa_sphere_6mm_mni2mm.X.harvardox_cortical_39"
"92",0.739298328804233,"harvardox_cortical_41.X.harvardox_cortical_2",0.746343607882329,"harvardox_cortical_39.X.left_ffa_sphere_6mm_mni2mm"
"93",0.738095232795248,"harvardox_cortical_7.X.harvardox_subcortical_2",0.739597032584601,"harvardox_cortical_7.X.harvardox_subcortical_13"
"94",0.738095232795248,"harvardox_subcortical_2.X.harvardox_cortical_7",0.739597032584601,"harvardox_subcortical_13.X.harvardox_cortical_7"
"95",0.736842206263446,"harvardox_subcortical_1.X.harvardox_subcortical_12",0.739132959421627,"harvardox_cortical_43.X.harvardox_cortical_42"
"96",0.736842206263446,"harvardox_subcortical_12.X.harvardox_subcortical_1",0.739132959421627,"harvardox_cortical_42.X.harvardox_cortical_43"
